platform,id,name,repo_url,created_since(m),updated_since(m),contributor_count,org_count,commit_frequency(y),recent_releases_count(y),closed_issues_count(90d),updated_issues_count(90d),comment_frequency,dependents_count,criticality_score,pagerank,truckfactor
Cargo,381274,rand,https://github.com/rust-random/rand,72.0,0.0,224.0,2.0,4.5,22.0,43.0,54.0,3.8,701.0,0.63165,627.581025232951,2.0
Cargo,10068,serde,https://github.com/serde-rs/serde,86.0,0.0,143.0,7.0,2.2,14.0,21.0,84.0,1.1,7217.0,0.65982,603.1349510893224,1.0
Cargo,888934,serde_derive,https://github.com/serde-rs/serde,86.0,0.0,143.0,7.0,2.2,14.0,21.0,84.0,1.1,7217.0,0.65982,536.5364758728595,1.0
Cargo,10217,winapi,https://github.com/retep998/winapi-rs,76.0,1.0,159.0,4.0,0.7,1.0,4.0,45.0,1.1,636.0,0.51494,509.8838056373642,1.0
Cargo,1884048,rustc-std-workspace-core,,,,,,,,,,,,,454.43265783765236,
Cargo,8708,libc,https://github.com/rust-lang/libc,72.0,0.0,430.0,4.0,8.0,13.0,120.0,177.0,4.9,2906.0,0.72353,452.9567201039288,2.0
Cargo,1238996,proc-macro2,https://github.com/alexcrichton/proc-macro2,44.0,1.0,23.0,6.0,3.6,18.0,21.0,22.0,0.7,622.0,0.51908,357.10144866139166,1.0
Cargo,8733,log,https://github.com/rust-lang/log,73.0,1.0,83.0,8.0,0.8,1.0,10.0,20.0,1.6,615.0,0.53447,307.3952107894534,2.0
Cargo,896537,quote,https://github.com/dtolnay/quote,52.0,3.0,20.0,7.0,0.8,5.0,6.0,7.0,1.7,300.0,0.46378,288.69620641171934,1.0
Cargo,461289,unicode-xid,https://github.com/unicode-rs/unicode-xid,69.0,6.0,12.0,4.0,0.1,1.0,0.0,0.0,0.0,35.0,0.28456,277.84847123891143,1.0
Cargo,904677,syn,https://github.com/dtolnay/syn,52.0,0.0,70.0,5.0,8.7,43.0,47.0,54.0,0.6,1603.0,0.60727,222.08047596164985,1.0
Cargo,488820,clippy,https://github.com/rust-lang-nursery/rust-clippy,74.0,0.0,542.0,6.0,37.8,29.0,417.0,656.0,3.9,1349.0,0.77963,215.02493584615985,10.0
Cargo,9996,regex,https://github.com/rust-lang/regex,73.0,1.0,143.0,4.0,1.5,20.0,27.0,35.0,1.2,1844.0,0.59084,207.32006771384928,1.0
Cargo,8698,lazy_static,https://github.com/rust-lang-nursery/lazy-static.rs,79.0,2.0,48.0,10.0,0.2,1.0,7.0,11.0,1.2,254.0,0.48552,199.32156395554196,1.0
Cargo,9981,quickcheck,https://github.com/BurntSushi/quickcheck,83.0,11.0,80.0,4.0,0.2,16.0,0.0,7.0,2.7,154.0,0.46208,173.26398607555058,1.0
Cargo,10026,rustc-serialize,https://github.com/rust-lang/rustc-serialize,73.0,39.0,61.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,0.26878,171.10959665056598,1.0
Cargo,564874,serde_json,https://github.com/serde-rs/json,68.0,1.0,86.0,8.0,4.6,16.0,22.0,37.0,1.4,3498.0,0.62818,144.5248706528917,1.0
Cargo,44327,spin,https://github.com/mvdnes/spin-rs,78.0,1.0,30.0,3.0,0.8,0.0,26.0,33.0,1.8,102.0,0.43698,136.4286319039468,2.0
Cargo,9897,num,https://github.com/rust-num/num,76.0,1.0,85.0,7.0,0.3,12.0,2.0,3.0,1.7,746.0,0.54282,111.0957594180244,2.0
Cargo,1335597,rand_core,https://github.com/rust-random/rand,72.0,0.0,224.0,2.0,4.5,22.0,43.0,54.0,3.8,701.0,0.63165,104.02673128215828,2.0
Maven,370693,junit:junit,https://github.com/junit-team/junit4,145.0,2.0,208.0,9.0,0.5,2.0,17.0,22.0,1.5,23722.0,0.6389,2972.3763427933422,3.0
Maven,375005,org.hamcrest:hamcrest-core,https://github.com/hamcrest/JavaHamcrest,106.0,2.0,59.0,7.0,0.3,2.0,5.0,13.0,0.9,303.0,0.48723,2487.320085059371,2.0
Maven,2233123,org.hamcrest:hamcrest,https://github.com/hamcrest/JavaHamcrest,106.0,2.0,59.0,7.0,0.3,2.0,5.0,13.0,0.9,303.0,0.48723,2114.504915764977,2.0
Maven,288662,org.scala-lang:scala-library,https://github.com/scala/scala,110.0,0.0,598.0,7.0,22.3,5.0,254.0,313.0,3.1,312806.0,0.84455,1654.491660986459,6.0
Maven,294150,com.typesafe:config,https://github.com/lightbend/config,110.0,0.0,100.0,8.0,0.5,3.0,12.0,26.0,2.2,171.0,0.5646,1428.1051516347768,1.0
Maven,312887,org.hamcrest:hamcrest-library,https://github.com/hamcrest/JavaHamcrest,106.0,2.0,59.0,7.0,0.3,2.0,5.0,13.0,0.9,303.0,0.48723,809.3829652199366,2.0
Maven,317134,com.google.code.findbugs:jsr305,https://code.google.com/p/jsr-305/,,,,,,,,,,,,679.1137661994547,
Maven,244412,com.novocode:junit-interface,https://github.com/sbt/junit-interface.git,,,,,,,,,,,,639.8576608234154,1.0
Maven,267270,org.slf4j:slf4j-api,https://github.com/qos-ch/slf4j,138.0,10.0,71.0,7.0,0.0,6.0,3.0,11.0,0.7,2613.0,0.50406,507.1206303442149,1.0
Maven,351667,net.liftweb:lift-json_2.10,https://github.com/lift/framework,120.0,1.0,116.0,8.0,0.3,3.0,2.0,3.0,0.3,153.0,0.48782,331.9969888028731,2.0
Maven,352266,org.scala-tools.testing:test-interface,,,,,,,,,,,,,291.89288348763364,
Maven,329247,log4j:log4j,http://svn.apache.org/viewvc/logging/log4j/tags/v1_2_17_rc3,,,,,,,,,,,,209.74536906234886,
Maven,258916,org.scala-lang:scala-reflect,https://github.com/scala/scala,110.0,0.0,598.0,7.0,22.3,5.0,254.0,313.0,3.1,312806.0,0.84455,208.64051843649125,6.0
Maven,297979,org.scala-lang:scala-compiler,https://github.com/scala/scala,110.0,0.0,598.0,7.0,22.3,5.0,254.0,313.0,3.1,312806.0,0.84455,200.73566926248768,6.0
Maven,327186,net.liftweb:lift-json_2.9.1,scm:git:https://github.com/lift/framework.git,,,,,,,,,,,,194.51468143808705,
Maven,322521,org.testng:testng,https://github.com/cbeust/testng,128.0,0.0,207.0,7.0,3.1,7.0,100.0,123.0,2.9,3114.0,0.69541,194.18837672149812,1.0
Maven,347355,org.mockito:mockito-core,https://github.com/mockito/mockito,100.0,0.0,234.0,6.0,4.0,72.0,117.0,168.0,1.7,19726.0,0.73359,176.331052070492,1.0
Maven,349853,org.scalatest:scalatest_2.10,https://github.com/scalatest/scalatest,94.0,0.0,49.0,10.0,4.1,9.0,96.0,121.0,1.0,494.0,0.61171,166.6119316315468,2.0
Maven,361165,com.google.guava:guava,https://github.com/google/guava,80.0,0.0,406.0,3.0,4.9,4.0,116.0,170.0,1.5,25199.0,0.68976,166.11796412281063,3.0
Maven,429075,javax.servlet:servlet-api,https://svn.java.net/svn/glassfish~svn/tags/javax.servlet-api-3.0.1,,,,,,,,,,,,148.28286465668572,
NPM,325109,tap,https://github.com/tapjs/node-tap,119.0,1.0,89.0,8.0,0.5,30.0,18.0,31.0,0.9,730.0,0.58803,24944.11756217889,1.0
NPM,247589,mocha,https://github.com/mochajs/mocha,119.0,1.0,511.0,8.0,3.8,16.0,113.0,181.0,2.4,14113.0,0.74976,24488.461795598654,3.0
NPM,108920,eslint,https://github.com/eslint/eslint,91.0,0.0,890.0,10.0,9.7,26.0,655.0,734.0,1.4,158477.0,0.85761,10987.089895135163,5.0
NPM,325159,tape,https://github.com/substack/tape,98.0,2.0,98.0,9.0,1.6,23.0,4.0,7.0,7.1,775.0,0.63223,9946.414499314129,2.0
NPM,70452,mkdirp,https://github.com/substack/node-mkdirp,121.0,59.0,9.0,6.0,0.0,2.0,1.0,2.0,2.0,16.0,0.30569,7084.050613706701,1.0
NPM,47581,ava,https://github.com/avajs/ava,74.0,0.0,270.0,9.0,3.6,20.0,47.0,72.0,2.1,3323.0,0.70374,7039.699630130454,2.0
NPM,296238,rimraf,https://github.com/isaacs/rimraf,120.0,10.0,22.0,11.0,0.1,5.0,0.0,7.0,0.3,9649.0,0.48669,6269.890019731597,1.0
NPM,184073,grunt,https://github.com/gruntjs/grunt,113.0,2.0,80.0,4.0,0.3,4.0,4.0,10.0,1.3,7772.0,0.54644,6131.0703172400345,1.0
NPM,129683,glob,https://github.com/isaacs/node-glob,135.0,14.0,32.0,6.0,0.0,10.0,4.0,11.0,0.8,918.0,0.46164,6059.935233153776,1.0
NPM,67257,chai,https://github.com/chaijs/chai,110.0,5.0,166.0,7.0,0.2,8.0,4.0,12.0,1.1,966.0,0.54088,6039.129325485788,1.0
NPM,309023,should,https://github.com/shouldjs/should.js,80.0,22.0,80.0,13.0,0.0,17.0,0.0,0.0,0.0,108.0,0.40563,5937.543520384545,1.0
