platform,id,name,repo_url,pagerank,truckfactor,criticality_score,created_since(m),updated_since(m),contributor_count,org_count,commit_frequency(y),recent_releases_count(y),closed_issues_count(90d),updated_issues_count(90d),comment_frequency,dependents_count
NPM,325109,tap,https://github.com/tapjs/node-tap,24944.11756217889,1,0.57655,119,2,89,8,0.5,30,18,34,0.8,736
NPM,247589,mocha,https://github.com/mochajs/mocha,24488.461795598654,3,0.76182,120,0,512,8,3.6,15,105,171,2.2,14166
NPM,108920,eslint,https://github.com/eslint/eslint,10987.089895135163,5,0.85792,92,0,890,10,9.6,26,611,669,1.4,170563
NPM,325159,tape,https://github.com/substack/tape,9946.414499314129,2,0.65378,99,0,100,9,1.3,23,11,17,4.3,878
NPM,70452,mkdirp,https://github.com/substack/node-mkdirp,7084.050613706701,1,0.28808,122,60,9,6,0.0,2,1,2,1.0,16
NPM,47581,ava,https://github.com/avajs/ava,7039.699630130454,2,0.70565,75,0,271,9,2.9,21,49,71,2.3,3440
NPM,296238,rimraf,https://github.com/isaacs/rimraf,6269.890019731597,1,0.49659,121,11,22,11,0.1,5,1,5,0.6,9878
NPM,184073,grunt,https://github.com/gruntjs/grunt,6131.0703172400345,1,0.54406,113,3,80,4,0.3,4,3,9,1.7,7804
NPM,129683,glob,https://github.com/isaacs/node-glob,6059.935233153776,1,0.45321,136,14,32,6,0.0,10,2,11,0.6,923
NPM,67257,chai,https://github.com/chaijs/chai,6039.129325485788,1,0.53268,111,6,166,7,0.2,8,3,10,1.0,973
NPM,309023,should,https://github.com/shouldjs/should.js,5937.543520384545,1,0.40824,123,22,80,13,0.0,11,0,0,0.0,108
NPM,233365,xo,https://github.com/xojs/xo,5733.485538476705,2,0.60791,66,0,69,7,1.8,26,11,24,1.7,1223
NPM,27226,istanbul,https://github.com/gotwarlost/istanbul,5094.968752957206,1,0.45736,101,44,95,10,0.0,7,4,13,0.8,297
NPM,56252,lodash,https://github.com/lodash/lodash,4767.646993426605,1,0.77907,136,0,325,11,0.2,38,128,218,1.1,209765
NPM,205044,uglify-js,https://github.com/mishoo/UglifyJS2,4558.095540303316,1,0.68811,105,0,131,8,10.2,28,320,326,0.8,1143
NPM,236842,jshint,https://github.com/jshint/jshint,4441.847614910461,2,0.64691,124,0,270,9,0.7,4,13,24,1.4,3469
NPM,58379,browserify,https://github.com/browserify/browserify,4403.7317106171095,1,0.57034,125,3,197,7,0.2,2,11,17,2.1,1467
NPM,77787,coveralls,https://github.com/nickmerwin/node-coveralls,4256.640877673413,2,0.51522,95,8,86,7,0.5,5,5,12,0.5,3356
NPM,204779,typescript,https://github.com/Microsoft/TypeScript,3879.787225000933,4,0.81943,80,0,606,3,33.8,22,1217,2438,2.4,53772
NPM,768447,@types/node,https://github.com/DefinitelyTyped/DefinitelyTyped,3878.0681973192854,22,0.93305,100,0,15916,6,129.0,0,2023,2465,5.7,200968
