platform,id,name,repo_url,pagerank,truckfactor,criticality_score,created_since(m),updated_since(m),contributor_count,org_count,commit_frequency(y),recent_releases_count(y),closed_issues_count(90d),updated_issues_count(90d),comment_frequency,dependents_count
Packagist,110443,phpunit/phpunit,https://github.com/sebastianbergmann/phpunit,16099.034393122418,1,0.79636,177,0,460,12,21.9,43,147,183,1.5,13164
Packagist,427070,symfony/phpunit-bridge,https://github.com/symfony/phpunit-bridge,1659.066677032614,3,0.62085,72,0,95,14,2.2,52,1,1,1.0,5443
Packagist,110439,phpunit/php-text-template,https://github.com/sebastianbergmann/php-text-template,1358.103832207914,1,0.37348,136,0,6,5,1.2,1,1,1,0.0,80
Packagist,123218,sebastian/exporter,https://github.com/sebastianbergmann/exporter,1299.9253593770916,1,0.43126,96,0,14,9,1.7,2,0,0,0.0,196
Packagist,1396,symfony/yaml,https://github.com/symfony/yaml,1232.6937089492108,1,0.60831,126,0,145,12,1.0,52,0,0,0.0,9762
Packagist,110436,phpunit/php-file-iterator,https://github.com/sebastianbergmann/php-file-iterator,1229.0262717770645,1,0.44446,136,0,16,11,1.5,3,0,0,0.0,155
Packagist,1341,symfony/console,https://github.com/symfony/console,1190.0954117876336,4,0.69463,126,0,329,15,2.1,51,1,3,1.0,19666
Packagist,123217,sebastian/diff,https://github.com/sebastianbergmann/diff,1154.3976136768624,2,0.52541,96,0,22,9,1.8,2,1,2,4.0,208
Packagist,127282,squizlabs/php_codesniffer,https://github.com/squizlabs/PHP_CodeSniffer,1148.8820077127255,1,0.68207,174,1,212,11,4.5,5,88,131,1.4,5021
Packagist,16198,illuminate/support,https://github.com/illuminate/support,1052.9240978427472,1,0.67852,105,0,479,9,5.2,47,1,1,1.0,4726
Packagist,110440,phpunit/php-timer,https://github.com/sebastianbergmann/php-timer,1026.8155619870936,1,0.50806,130,0,12,10,2.3,2,4,4,1.8,211
Packagist,110438,phpunit/php-code-coverage,https://github.com/sebastianbergmann/php-code-coverage,1020.9657798373328,1,0.64986,141,0,102,8,7.4,14,19,27,2.3,698
Packagist,123228,sebastian/version,https://github.com/sebastianbergmann/version,1018.8532159275037,1,0.35915,97,3,7,7,0.1,2,0,0,0.0,263
Packagist,123219,sebastian/environment,https://github.com/sebastianbergmann/environment,987.6817504047568,1,0.45826,84,0,18,12,1.8,5,0,0,0.0,275
Packagist,123214,sebastian/comparator,https://github.com/sebastianbergmann/comparator,925.206202984789,1,0.51888,87,0,24,10,1.9,4,1,2,2.0,218
Packagist,110445,phpunit/phpunit-mock-objects,https://github.com/sebastianbergmann/phpunit-mock-objects,896.3866446923182,1,0.42239,174,28,73,13,0.0,7,0,0,0.0,566
Packagist,30739,yiisoft/yii2,https://github.com/yiisoft/yii2-framework,877.2661282877281,2,0.58735,118,0,818,11,5.0,6,0,0,0.0,293
Packagist,72225,sebastian/recursion-context,https://github.com/sebastianbergmann/recursion-context,861.0899010252325,1,0.41276,72,0,7,6,1.7,2,2,2,0.5,118
Packagist,113770,psr/log,https://github.com/php-fig/log,833.0282920515705,1,0.46551,99,4,26,12,0.1,1,0,2,3.0,310
Packagist,2010,guzzlehttp/guzzle,https://github.com/guzzle/guzzle,811.4366308890288,1,0.67223,120,2,387,11,2.3,10,208,242,0.7,2292
