platform,id,name,repo_url,pagerank,truckfactor,criticality_score,created_since(m),updated_since(m),contributor_count,org_count,commit_frequency(y),recent_releases_count(y),closed_issues_count(90d),updated_issues_count(90d),comment_frequency,dependents_count
Pypi,11615,requests,https://github.com/kennethreitz/requests,664.8998056309118,1.0,0.72064,120.0,1.0,674.0,8.0,1.3,14.0,115.0,156.0,1.7,7426.0
Pypi,16704,six,https://github.com/benjaminp/six,582.9226495384368,1.0,0.56563,123.0,0.0,61.0,7.0,0.2,2.0,7.0,15.0,1.9,1451.0
Pypi,141233,numpy,https://github.com/numpy/numpy,288.00840326909236,6.0,0.85588,232.0,0.0,1230.0,9.0,40.8,14.0,757.0,1065.0,3.1,8858.0
Pypi,15261,setuptools,https://github.com/pypa/setuptools,237.71861571494662,4.0,0.72353,268.0,0.0,405.0,4.0,11.6,8.0,82.0,160.0,2.0,10726.0
Pypi,23927,certifi,,226.6195047918928,,,,,,,,,,,,
Pypi,17819,beautifulsoup4,,205.86618602732997,,,,,,,,,,,,
Pypi,1910748,soupsieve,https://github.com/facelessuser/soupsieve,174.71903776612885,1.0,0.43797,25.0,1.0,8.0,4.0,0.8,4.0,12.0,13.0,3.6,210.0
Pypi,26522,click,https://github.com/mitsuhiko/click,169.7975097016316,1.0,0.6266,82.0,0.0,273.0,5.0,3.4,4.0,1620.0,1641.0,0.1,611.0
Pypi,9172,PyYAML,https://github.com/yaml/pyyaml,151.9171693083068,1.0,0.53467,181.0,10.0,33.0,9.0,0.1,2.0,17.0,42.0,2.2,4048.0
Pypi,5934,pytz,https://github.com/stub42/pytz,151.1533906363527,1.0,0.49642,191.0,0.0,15.0,3.0,0.4,4.0,4.0,8.0,2.0,1177.0
Pypi,34769,urllib3,https://github.com/urllib3/urllib3,140.47911885742633,4.0,0.73112,135.0,0.0,267.0,8.0,3.6,7.0,128.0,172.0,2.6,9704.0
Pypi,39463,Django,https://github.com/django/django,131.68294958808409,5.0,0.82116,188.0,1.0,2445.0,4.0,24.2,19.0,351.0,451.0,2.1,33585.0
Pypi,24002,chardet,https://github.com/chardet/chardet,129.14162228001854,1.0,0.49383,112.0,1.0,37.0,8.0,0.7,1.0,25.0,30.0,0.4,342.0
Pypi,103755,idna,https://github.com/kjd/idna,109.91215049729027,1.0,0.47618,93.0,0.0,16.0,5.0,0.7,3.0,7.0,7.0,0.4,889.0
Pypi,441895,python-dateutil,https://github.com/dateutil/dateutil,101.46642682011174,1.0,0.49915,210.0,3.0,118.0,5.0,0.3,1.0,1.0,22.0,1.0,946.0
Pypi,15291,appdirs,https://github.com/ActiveState/appdirs,82.153305706885,1.0,0.44379,127.0,2.0,29.0,8.0,0.2,1.0,2.0,10.0,0.4,228.0
Pypi,145356,packaging,https://github.com/pypa/packaging,78.35144125541439,1.0,0.62861,81.0,0.0,59.0,8.0,1.4,9.0,41.0,68.0,3.5,1048.0
Pypi,106885,Jinja2,https://github.com/pallets/jinja,73.74409348568373,1.0,0.65345,169.0,0.0,263.0,8.0,2.0,3.0,1218.0,1235.0,0.0,1597.0
Pypi,84780,Flask,https://github.com/pallets/flask,70.6872984262362,1.0,0.69612,131.0,0.0,709.0,6.0,3.2,1.0,3645.0,3655.0,0.0,4678.0
Pypi,130369,MarkupSafe,https://github.com/pallets/markupsafe,69.0549909725176,1.0,0.53056,128.0,0.0,30.0,8.0,1.2,2.0,167.0,170.0,0.1,299.0
